ID,Name,Begin date,End date,Duration,Completion,Cost,Coordinator,Predecessors,Outline number,Resources,Assignments,Task color,Web Link,Notes
24,BNEXT,12/16/19,3/27/20,75,56,0,,,1,,,"#000000",,
45,"  join epic",1/7/20,3/10/20,46,70,0,,,1.1,,,"#000000",,
0,"    join",1/7/20,2/4/20,21,100,0,,,1.1.1,,,,,
43,"    join index",2/27/20,3/4/20,5,0,0,,125,1.1.2,,,,,
44,"    join limit -> optimization",3/5/20,3/10/20,4,0,0,,43,1.1.3,,,,,
46,"  cursor",12/16/19,2/27/20,54,87,0,,,1.2,,,"#000000",,
1,"    python cursor serializer/deserializer",12/16/19,2/4/20,37,100,0,,,1.2.1,,,,,
47,"    fetch",2/5/20,2/13/20,7,100,0,,1,1.2.2,,,,,
48,"    jdbc - not required",2/14/20,2/14/20,1,0,0,,47,1.2.3,,,,,
49,"    text",2/17/20,2/17/20,1,100,0,,48,1.2.4,,,,,
50,"    bytea",2/18/20,2/18/20,1,100,0,,49,1.2.5,,,,,
51,"    json",2/19/20,2/19/20,1,100,0,,50,1.2.6,,,,,
52,"    array",2/20/20,2/25/20,4,0,0,,51,1.2.7,,,,,
53,"    geometry",2/26/20,2/27/20,2,0,0,,52,1.2.8,,,,,
2,"  indexes",12/16/19,3/19/20,69,90,0,,,1.3,,,"#000000",,
3,"    create",12/16/19,12/31/19,12,100,0,,,1.3.1,,,,,
6,"    insert",1/1/20,2/4/20,25,100,0,,3,1.3.2,,,,,
180,"    drop",3/16/20,3/18/20,3,0,0,,8,1.3.3,,,,,
181,"    check",3/19/20,3/19/20,1,0,0,,180,1.3.4,,,,,
7,"  dumps",12/16/19,12/18/19,3,100,0,,,1.4,,,,,
8,"  update data",2/5/20,3/13/20,28,0,0,,6,1.5,,,,,
25,"    update from internal storage",2/5/20,2/11/20,5,0,0,,,1.5.1,,,,,
30,"    update index",3/11/20,3/13/20,3,0,0,,34;38,1.5.2,,,,,
32,"    update constraints check",2/12/20,2/13/20,2,0,0,,25,1.5.3,,,,,
34,"    foreign key",2/14/20,2/20/20,5,0,0,,32,1.5.4,,,,,
9,"  delete data",2/21/20,3/10/20,13,0,0,,,1.6,,,,,
35,"    delete from interal storage",2/21/20,2/26/20,4,0,0,,34,1.6.1,,,,,
38,"    delete index",3/9/20,3/10/20,2,0,0,,42,1.6.2,,,,,
40,"    delete constraint check",2/27/20,2/28/20,2,0,0,,35,1.6.3,,,,,
42,"    delete foreign key",3/2/20,3/6/20,5,0,0,,40,1.6.4,,,,,
15,"  limit, offset",1/27/20,1/29/20,3,100,0,,,1.7,,,,,
124,"  insert",2/17/20,2/26/20,8,0,0,,,1.8,,,"#000000",,
125,"    foreign key",2/17/20,2/26/20,8,0,0,,213,1.8.1,,,,,
16,"  with + with recursive - not required",3/24/20,3/24/20,0,0,0,,,1.9,,,,,
