bn::v_entity@3.24019501056 (p2_report_view_bn_cache_entity, row count:18)
bn::v_entity@3.20204265472 (f7_rm_relation_table_2015_2020_11_27_10_12_10, row count:3040133)
bn::v_entity@3.19123953664 (f7_rm_relation_table_2018_2020_11_27_09_45_32, row count:2768115)
bn::v_entity@3.17939587072 (f7_rm_relation_table_2017_2020_11_27_09_30_16, row count:3820368)
bn::v_entity@3.17034047360 (pennsylvania_new_management_2020_11_23_10_43_57, row count:175954)
bn::v_entity@3.17034045440 (orange_new_management_2020_11_23_10_43_23, row count:5117)
bn::v_entity@3.17034043520 (caandnv_new_management_2020_11_23_10_42_56, row count:727)
bn::v_entity@3.14706900992 (f7_rm_relation_table_2018_2020_11_06_09_43_06, row count:2535204)
bn::v_entity@3.13620011008 (f7_rm_relation_table_2017_2020_11_06_09_31_00, row count:3502520)
bn::v_entity@3.12683522048 (f7_rm_relation_table_2016_2020_11_06_09_17_06, row count:3605067)
bn::v_entity@3.197069184 (relations36873458172297230, row count:726)
bn::v_entity@3.197067904 (36873458172297272, row count:1)
bn::v_entity@3.196981376 (relations36873458172297271, row count:673)
bn::v_entity@3.196980352 (tmp36873458172297239, row count:781)
bn::v_entity@3.196979328 (tmp36873458172297255, row count:781)
bn::v_entity@3.196978304 (tmp36873458172297273, row count:781)
bn::v_entity@3.196877696 (stay_entity36873458172297245, row count:781)
bn::v_entity@3.196876672 (tmp36873458172297242, row count:781)
bn::v_entity@3.196790016 (relations36873458172297245, row count:675)
bn::v_entity@3.196703488 (relations36873458172297274, row count:673)
bn::v_entity@3.196702208 (36873458172297222, row count:1)
bn::v_entity@3.196601600 (stay_entity36873458172297232, row count:781)
bn::v_entity@3.196600704 (episode_entity36873458172297232, row count:726)
bn::v_entity@3.196599680 (tmp36873458172297274, row count:781)
bn::v_entity@3.196598400 (36873458172297241, row count:1)
bn::v_entity@3.196597120 (36873458172297232, row count:1)
bn::v_entity@3.196595840 (36873458172297231, row count:1)
bn::v_entity@3.196594816 (tmp36873458172297220, row count:781)
bn::v_entity@3.196508288 (relations36873458172297276, row count:673)
bn::v_entity@3.196407680 (stay_entity36873458172297257, row count:781)
bn::v_entity@3.196406656 (tmp36873458172297276, row count:781)
bn::v_entity@3.196405376 (36873458172297263, row count:1)
bn::v_entity@3.196304768 (stay_entity36873458172297262, row count:781)
bn::v_entity@3.196303488 (36873458172297264, row count:1)
bn::v_entity@3.196202880 (stay_entity36873458172297249, row count:781)
bn::v_entity@3.196201856 (tmp36873458172297241, row count:781)
bn::v_entity@3.196200832 (tmp36873458172297246, row count:781)
bn::v_entity@3.196199936 (episode_entity36873458172297230, row count:726)
bn::v_entity@3.196198656 (36873458172297248, row count:1)
bn::v_entity@3.196197376 (36873458172297233, row count:1)
bn::v_entity@3.196196096 (36873458172297270, row count:1)
bn::v_entity@3.196109440 (relations36873458172297246, row count:675)
bn::v_entity@3.196108416 (tmp36873458172297243, row count:781)
bn::v_entity@3.196107392 (tmp36873458172297248, row count:781)
bn::v_entity@3.196006784 (stay_entity36873458172297230, row count:781)
bn::v_entity@3.196005760 (tmp36873458172297247, row count:781)
bn::v_entity@3.196004736 (tmp36873458172297230, row count:781)
bn::v_entity@3.196003712 (tmp36873458172297277, row count:781)
bn::v_entity@3.195917056 (relations36873458172297255, row count:675)
bn::v_entity@3.195915776 (36873458172297245, row count:1)
bn::v_entity@3.195914752 (tmp36873458172297233, row count:781)
bn::v_entity@3.195828096 (relations36873458172297238, row count:675)
bn::v_entity@3.195826816 (36873458172297276, row count:1)
bn::v_entity@3.195825920 (episode_entity36873458172297220, row count:726)
bn::v_entity@3.195739264 (relations36873458172297234, row count:675)
bn::v_entity@3.195652608 (relations36873458172297247, row count:675)
bn::v_entity@3.195552000 (stay_entity36873458172297253, row count:781)
bn::v_entity@3.195539456 (stay_entity36873458172297254, row count:92)
bn::v_entity@3.195438848 (stay_entity36873458172297241, row count:781)
bn::v_entity@3.195338240 (stay_entity36873458172297233, row count:781)
bn::v_entity@3.195251584 (relations36873458172297252, row count:675)
bn::v_entity@3.195164928 (relations36873458172297253, row count:675)
bn::v_entity@3.195163648 (36873458172297230, row count:1)
bn::v_entity@3.195077120 (relations36873458172297270, row count:673)
bn::v_entity@3.195076096 (tmp36873458172297270, row count:781)
bn::v_entity@3.195074816 (36873458172297252, row count:1)
bn::v_entity@3.195073792 (tmp36873458172297262, row count:781)
bn::v_entity@3.195072512 (36873458172297255, row count:1)
bn::v_entity@3.194971904 (stay_entity36873458172297243, row count:781)
bn::v_entity@3.194970624 (36873458172297288, row count:1)
bn::v_entity@3.194969344 (36873458172297220, row count:1)
bn::v_entity@3.194868736 (stay_entity36873458172297255, row count:781)
bn::v_entity@3.194867456 (36873458172297243, row count:1)
bn::v_entity@3.194866176 (36873458172297269, row count:1)
bn::v_entity@3.194864896 (36873458172297240, row count:1)
bn::v_entity@3.194863616 (36873458172297271, row count:1)
bn::v_entity@3.194763008 (stay_entity36873458172297252, row count:781)
bn::v_entity@3.194761984 (tmp36873458172297253, row count:781)
bn::v_entity@3.194661376 (stay_entity36873458172297240, row count:781)
bn::v_entity@3.194660352 (tmp36873458172297245, row count:781)
bn::v_entity@3.194659072 (36873458172297273, row count:1)
bn::v_entity@3.194658048 (tmp36873458172297238, row count:781)
bn::v_entity@3.194657024 (tmp36873458172297252, row count:781)
bn::v_entity@3.194656000 (tmp36873458172297250, row count:781)
bn::v_entity@3.194555392 (stay_entity36873458172297234, row count:781)
bn::v_entity@3.194468736 (relations36873458172297262, row count:675)
bn::v_entity@3.194382080 (relations36873458172297243, row count:675)
bn::v_entity@3.194281472 (stay_entity36873458172297260, row count:781)
bn::v_entity@3.194280448 (tmp36873458172297240, row count:781)
bn::v_entity@3.194179840 (stay_entity36873458172297244, row count:781)
bn::v_entity@3.194093312 (relations36873458172297277, row count:673)
bn::v_entity@3.194092288 (tmp36873458172297268, row count:781)
bn::v_entity@3.194091008 (36873458172297275, row count:1)
bn::v_entity@3.193990400 (stay_entity36873458172297220, row count:781)
bn::v_entity@3.193889792 (stay_entity36873458172297246, row count:781)
bn::v_entity@3.193803136 (relations36873458172297248, row count:675)
bn::v_entity@3.193801856 (36873458172297249, row count:1)
bn::v_entity@3.193701248 (stay_entity36873458172297263, row count:781)
bn::v_entity@3.193614592 (relations36873458172297250, row count:675)
bn::v_entity@3.193613312 (36873458172297244, row count:1)
bn::v_entity@3.193512704 (stay_entity36873458172297239, row count:781)
bn::v_entity@3.193426176 (relations36873458172297272, row count:673)
bn::v_entity@3.193423104 (relations36873458172297254, row count:17)
bn::v_entity@3.193421824 (36873458172297257, row count:1)
bn::v_entity@3.193321216 (stay_entity36873458172297264, row count:781)
bn::v_entity@3.193319936 (36873458172297260, row count:1)
bn::v_entity@3.193318656 (tmp36873458172297254, row count:92)
bn::v_entity@3.193317376 (36873458172297221, row count:1)
bn::v_entity@3.193316096 (36873458172297256, row count:1)
bn::v_entity@3.193215488 (stay_entity36873458172297250, row count:781)
bn::v_entity@3.193214208 (36873458172297254, row count:1)
bn::v_entity@3.193212928 (36873458172297274, row count:1)
bn::v_entity@3.193126272 (relations36873458172297260, row count:675)
bn::v_entity@3.193124992 (36873458172297234, row count:1)
